,original_text,label
23,"Country Music Television , or CMT , is an American country music-oriented cable television network .",1
24,"Free content , or free information , is any kind of functional work , artwork , or other creative content , which meets the free content definition , having no significant legal restriction relative to people 's freedom to use , distribute copies , modify , and to distribute derived works of the content .",1
25,Sea surface temperature -LRB- SST -RRB- is the water temperature close to the surface .,1
26,They take up oxygen in the lungs or gills and release it while squeezing through the body 's capillaries .,1
27,He has subsequently written a further nine plays .,1
28,"Lemon meringue pie is a type of baked pie , usually served for dessert , typically prepared with a bottom pie crust , but with no upper crust .",1
29,"A veritable reference book to Thunderbolt 's many adventures , Patch provides the perfect guide for the TV star in his attempts at real-life heroics .",1
30,"On July 29 , 2008 the Palace announced that King George Tupou V would relinquish much of his power and would surrender his role in day-to-day governmental affairs to the Prime Minister .",1
31,"F. W. D. Brie , 1906 .",1
32,"Simon Boccanegra is an opera with a prologue and three acts by Giuseppe Verdi to an Italian libretto by Francesco Maria Piave , based on the play SimÃ n Bocanegra -LRB- 1843 -RRB- by Antonio GarcÃ a GutiÃ rrez .",1
33,"On June 6 , 2000 , ten days before the movie was released , at the SuperComm 2000 tradeshow , the movie was projected simultaneously at the trade show in Atlanta , Georgia as well as a screen in Los Angeles , California .",1
34,"The Bushehr Nuclear Power Plant -LRB- -RRB- is a nuclear power plant in Iran south-east of the city of Bushehr , between the fishing villages of Halileh and Bandargeh along the Persian Gulf .",1
35,"In 2002 , Ortiz hit .272 for Minnesota , with 20 home runs and 75 RBIs . The Twins advanced to the American League Championship Series that year , where they lost to the Anaheim Angels .",1
36,"As a result the paper 's coverage changed radically from an uncritical and rather reverential showbiz-oriented paper to something intended to be smarter , hipper , more cynical and funnier than any mainstream British music paper had previously been -LRB- an approach influenced mainly by writers such as Tom Wolfe and Lester Bangs -RRB- .",1
37,The King -LRB- who appears to be chronically dissatisfied with his 10-cm-tall son 's small size -RRB- charges the Prince to go to Earth with a '' katamari '' -- a magical ball that allows anything smaller than it to stick to it and make it grow -- and collect enough material for him to recreate the stars and constellations .,1
38,"Marklohe is a municipality in the district of Nienburg , in Lower Saxony , Germany .",1
39,"Chronic obstructive pulmonary disease -LRB- COPD -RRB- , interstitial lung disease -LRB- ILD -RRB-",1
40,"Glenn Thomas Jacobs -LRB- born April 26 , 1967 in Madrid , Spain -RRB- is an American professional wrestler and actor better known by his ring name , Kane and is currently working for World Wrestling Entertainment on its SmackDown brand .",1
41,"Sudan is situated in northern Africa , bordering the Red Sea and it has a coastline of 853 km along the Red Sea .",1
42,"Shades of red and orange may sometimes appear , either replacing or mixing with the yellow according to subspecies .",1
43,"Also known as Hentchak , Henchak , Social-Democratic Hentchakists , Huntchakians , Hnchakian , Henchags , its name is taken from its newspaper Hunchak , meaning '' Clarion '' or '' Bell '' in English , and is taken by party members to represent '' a call or awakening , for enlightenment and freedom . ''",1
44,"Guitars are traditionally constructed of various woods and strung with animal gut or , more recently , with either nylon or steel strings .",1
45,"The player takes on the role of an engineer named Isaac Clarke , who battles a polymorphic , virus-like , alien infestation which turns humans into grotesque alien monsters called '' Necromorphs '' , on board a stricken interstellar mining ship named the USG Ishimura .",1
46,"Sergio PÃ rez Mendoza -LRB- born January 26 , 1990 in Guadalajara , Jalisco -RRB- , also known as '' Checo '' PÃ rez , is a Mexican racing driver .",1
47,"To order the book as a bound book , click the '' Order book from PediaPress '' button .",1
48,"The conflict between his parents about religion meant that , unlike most Italians , Mussolini was not baptised at birth and would not be until much later in life .",1
49,"1810 & ndash ; Ernst Kummer , German mathematician -LRB- d. 1893 -RRB-",1
50,"He studied in Armenia and Istanbul , then at Wisconsin University which he finished in 1915 .",1
51,AmbÃ rieux-en-Dombes is a commune in the department of Ain in eastern France .,1
52,"It is by far the longest of the Pauline epistles , and is considered his '' most important theological legacy '' .",1
53,The Suprematists also made architectural models in the 1920s which offered a different conception of socialist buildings to those developed in Constructivist architecture .,1
54,70 Virginis b is an extrasolar planet approximately 60 light-years away in the constellation of Virgo .,1
55,"Detention may refer to : Detention -LRB- 2003 film -RRB- School punishment #Detention , a punishment used in schools Detention -LRB- Cold Case Episode -RRB- , Episode 58 -LRB- Series 3 Episode 12 -RRB- of CBS TV Drama Cold Case .",1
56,"A user 's home directory is intended to contain that user 's files ; including text documents , music , pictures or videos , etc. .",1
57,The Old Kingdom was followed by a period of disunity and relative cultural decline referred to by Egyptologists as the First Intermediate Period .,1
58,"Rudolph Valentino -LRB- May 6 , 1895 -- August 23 , 1926 -RRB- was an Italian actor , sex symbol , and early pop icon .",1
59,"Unión Deportiva Las Palmas , S.A.D. is a Spanish football team based in Las Palmas de Gran Canaria , in the autonomous community of Canary Islands .",1
60,The major towns are Rabaul/Kokopo in East New Britain and Kimbe in West New Britain .,1
61,"During the 1970s , his nephew Billy Backus became world 's welterweight champion after having a shaky start to his own boxing career , and Basilio declared on the day that Backus became champion , that to him , Billy winning the title was better than when he won it himself .",1
62,"That same year , Mattel also introduced Fashion Polly !",1
63,"European-brought diseases sweep through the Andes , killing thousands , including the Inca .",1
64,"Schneider writes numerous publications on safety , proliferation and economic trends of the nuclear industry .",1
65,"They have appeared on the cover of that company 's free magazine , V !",1
66,"Etymology The Portuguese Man O ' War -LRB- named caravela-portuguesa in Portuguese -RRB- is named for its air bladder , which looks similar to the triangular sails of the Portuguese ship -LRB- man-of-war -RRB- Caravela latina -LRB- two - or three-masted lateen-rigged ship caravel -RRB- , of the 15th and 16th centuries .",1
67,Nonverbal communication is usually understood as the process of communication through sending and receiving wordless messages .,1
68,"Built in 1964 , the vehicle was powered by a 1955 or 1956 Chevrolet V8 and was backed by a Powerglide automatic transmission .",1
69,He is credited with many recording innovations .,1
70,A short comparison of these two types of algorithms is given below : Speed of algorithms Symmetric-key algorithms are generally much less computationally intensive than asymmetric key algorithms .,1
71,"The Celtic League is a non-governmental organization that promotes self-determination and Celtic identity and culture in Ireland , Scotland , Wales , Brittany , Cornwall and the Isle of Man , known as the Celtic nations .",1
72,"A popular form of textile art in Japan is shibori -LRB- intricate tie dye -RRB- , found on some of the more expensive kimonos and haori kimono jackets .",1
73,Tourrettes-sur-Loup is a commune in the Alpes-Maritimes department in southeastern France .,1
74,"In recreational canoeing , maps measure portages -LRB- overland paths where canoes must be carried -RRB- in rodsVoyaguer Maps BWCA map downloads .",1
75,Its capital is Baton Rouge and largest city is New Orleans .,1
76,"As of January 1 , 2006 , Ingelmunster had a total population of 10,617 .",1
77,"Some PDAs also have a USB port , mainly for USB flash drives .",1
78,BÃ thonsart is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France .,1
79,"John Constantine Unitas -LRB- juË Ë naÉ tÉ s ; May 7 , 1933 â '' September 11 , 2002 -RRB- , known as Johnny Unitas or '' Johnny U '' , and nicknamed '' The Golden Arm '' , was a professional American football player in the 1950s through the 1970s , spending the majority of his career with the Baltimore Colts .",1
80,"She won two matches against Sonja Graf for the Women 's World Champion title ; -LRB- +3 -- 1 = 0 -RRB- at Rotterdam 1934 , and -LRB- +9 -- 2 = 5 -RRB- at Semmering 1937 .",1
81,"Old Persian appears primarily in the inscriptions , clay tablets , seals of the Achaemenid era -LRB- c. 600 BCE to 300 BCE -RRB- .",1
82,"The Holocaust -LRB- from the Greek : hólos , '' whole '' and kaustós , '' burnt '' -RRB- , The word is only marginally found in Greek Classical literature referring in general to an offering .",1
83,"Network Ten , or Channel Ten , is one of Australia 's three major commercial television networks .",1
84,The supposed drug reference in the line '' I 'd love to turn you on '' resulted in the song initially being banned from broadcast by the BBC .,1
85,Its name in Ossetic transliterates -LRB- in the ISO 9-system -RRB- as Respublikæ Cægat Iryston - Alani .,1
86,"Sean Allen Morley -LRB- born March 6 , 1971 -RRB- best known by his ring name Val Venis , is a Canadian professional wrestler .",1
87,On 26 July 2004 Banco Santander Central Hispano announced the acquisition of Abbey National plc. .,1
88,"William de Wiveleslie Abney FRS -LRB- 24 July 1843 -- 3 December 1920 -RRB- was an English astronomer , chemist , and photographer .",1
89,"The name is derived from the Latin sol -LRB- sun -RRB- and sistere -LRB- to stand still -RRB- , because at the solstices , the Sun stands still in declination ; that is , the apparent movement of the Sun 's path north or south comes to a stop before reversing direction .",1
90,Walter Kogler,1
91,The Dutch Wikipedia -LRB- -RRB- is the Dutch language edition of Wikipedia .,1
92,"Vietnam War : The Fall of Saigon : The Vietnam War ends as Communist forces take Saigon , resulting in mass evacuations of Americans and South Vietnamese .",1
93,"The Hush Sound SweetTangerine.net -LRB- accessed April 10 , 2007 -RRB- The band consists of Bob Morris on vocals and guitar , Mike Leblanc on bass and vocals , Darren Wilson on drums and vocals , and Greta Salpeter on vocals and piano .",1
94,"Albatross chicks fledge on their own and receive no further help from their parents , who return to the nest after fledging , unaware their chick has left .",1
95,a family of,1
96,"Only one track , '' One After 909 '' , was taken from the rooftop concert , with '' I 've Got a Feeling '' and '' Dig a Pony '' being studio recordings instead .",1
97,"Ferdinand II died in 1516 in Madrigalejo , Extremadura .",1
98,"It was released on January 29 , 1996 for the PC .",1
99,"His season also included two pole positions , three fastest laps and two lap records , helping him to sixth in the championship .",1
